------------ Generated ActiGraph data date format M/d/yyyy at 80 Hz  -----------
Start Time 09:30:05.500
Start Date 1/1/2000
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
6.677,-4.323,1.033
6.682,-4.313,1.054
6.688,-4.302,1.077
6.693,-4.290,1.100
6.699,-4.279,1.124
6.705,-4.267,1.148
6.711,-4.255,1.173
6.717,-4.242,1.198
6.722,-4.230,1.223
6.728,-4.218,1.247
6.734,-4.206,1.271
6.740,-4.194,1.295
6.745,-4.183,1.319
6.751,-4.172,1.341
6.756,-4.161,1.363
6.761,-4.151,1.383
6.765,-4.142,1.403
6.769,-4.133,1.421
6.773,-4.125,1.438
6.777,-4.117,1.453
6.780,-4.111,1.466
6.783,-4.105,1.478
6.785,-4.100,1.489
6.787,-4.096,1.497
6.788,-4.093,1.503
6.789,-4.091,1.508
6.789,-4.090,1.511
6.789,-4.090,1.511
6.789,-4.090,1.510
6.787,-4.092,1.507
6.786,-4.095,1.501
6.784,-4.099,1.494
6.781,-4.103,1.485
6.778,-4.109,1.474
6.775,-4.116,1.462
6.771,-4.123,1.447
6.767,-4.131,1.432
6.762,-4.140,1.414
6.757,-4.150,1.395
6.752,-4.160,1.375
6.746,-4.171,1.354
6.740,-4.182,1.332
6.734,-4.194,1.309
6.728,-4.206,1.285
6.722,-4.218,1.260
6.715,-4.231,1.235
6.708,-4.244,1.210
6.702,-4.257,1.185
6.695,-4.270,1.159
6.689,-4.282,1.134
6.682,-4.295,1.109
6.676,-4.308,1.084
6.669,-4.320,1.060
6.663,-4.331,1.037
6.657,-4.343,1.015
6.652,-4.354,0.994
6.647,-4.364,0.974
6.642,-4.373,0.955
6.637,-4.382,0.938
6.633,-4.390,0.922
6.629,-4.398,0.907
6.625,-4.404,0.895
6.622,-4.410,0.884
6.620,-4.414,0.875
6.618,-4.418,0.868
6.616,-4.421,0.863
6.615,-4.423,0.859
6.614,-4.424,0.858
6.614,-4.424,0.859
6.615,-4.422,0.861
6.616,-4.420,0.866
6.617,-4.417,0.872
6.619,-4.413,0.881
6.621,-4.408,0.891
6.624,-4.403,0.903
6.627,-4.396,0.916
6.630,-4.389,0.932
6.634,-4.380,0.948
6.638,-4.372,0.966
6.643,-4.362,0.986
6.648,-4.352,1.006
6.653,-4.341,1.028
6.658,-4.330,1.050
6.664,-4.319,1.074
6.670,-4.307,1.097
6.675,-4.295,1.122
6.681,-4.283,1.146
6.687,-4.271,1.171
6.693,-4.259,1.196
6.699,-4.246,1.221
6.705,-4.234,1.245
6.710,-4.223,1.269
6.716,-4.211,1.292
6.721,-4.200,1.314
6.726,-4.190,1.336
6.731,-4.180,1.357
6.736,-4.170,1.376
6.740,-4.161,1.394
6.744,-4.153,1.411
6.747,-4.146,1.426
6.750,-4.139,1.440
6.753,-4.133,1.452
6.755,-4.128,1.462
6.757,-4.124,1.470
6.759,-4.121,1.477
6.759,-4.119,1.481
6.760,-4.118,1.484
6.760,-4.118,1.484
6.759,-4.119,1.483
6.758,-4.120,1.480
6.756,-4.123,1.475
6.754,-4.127,1.467
6.752,-4.132,1.458
6.749,-4.137,1.447
6.745,-4.144,1.435
6.741,-4.151,1.421
6.737,-4.159,1.405
6.733,-4.168,1.387
6.728,-4.178,1.368
6.722,-4.188,1.348
6.717,-4.199,1.327
6.711,-4.210,1.305
6.705,-4.222,1.282
6.698,-4.234,1.258
6.692,-4.246,1.233
6.685,-4.259,1.208
6.679,-4.272,1.183
6.672,-4.285,1.158
6.666,-4.298,1.132
6.659,-4.310,1.107
6.652,-4.323,1.082
6.646,-4.336,1.057
6.640,-4.348,1.033
6.634,-4.359,1.010
6.628,-4.371,0.988
6.622,-4.382,0.967
6.617,-4.392,0.947
6.612,-4.401,0.928
6.607,-4.410,0.910
6.603,-4.418,0.895
6.599,-4.426,0.880
6.596,-4.432,0.868
6.593,-4.438,0.857
6.590,-4.442,0.848
6.588,-4.446,0.841
6.586,-4.449,0.835
6.585,-4.451,0.832
6.585,-4.452,0.831
6.585,-4.451,0.831
6.585,-4.450,0.834
6.586,-4.448,0.838
6.587,-4.445,0.845
6.589,-4.441,0.853
6.591,-4.436,0.863
6.594,-4.430,0.875
6.597,-4.424,0.889
6.601,-4.416,0.904
6.604,-4.408,0.921
6.609,-4.399,0.939
6.613,-4.390,0.958
6.618,-4.380,0.979
6.623,-4.369,1.000
6.629,-4.358,1.023
6.634,-4.347,1.046
6.640,-4.335,1.070
6.646,-4.323,1.094
6.651,-4.311,1.119
6.657,-4.298,1.144
6.663,-4.286,1.168
6.669,-4.274,1.193
6.675,-4.262,1.217
6.681,-4.250,1.241
6.686,-4.239,1.264
6.691,-4.228,1.287
6.696,-4.217,1.308
6.701,-4.207,1.329
6.706,-4.198,1.348
6.710,-4.189,1.366
6.714,-4.180,1.383
6.718,-4.173,1.398
6.721,-4.166,1.412
6.723,-4.161,1.424
6.726,-4.156,1.434
6.727,-4.152,1.442
6.729,-4.149,1.449
6.730,-4.147,1.453
6.730,-4.145,1.456
6.730,-4.145,1.457
6.729,-4.146,1.455
6.728,-4.148,1.452
6.726,-4.151,1.447
6.724,-4.154,1.440
6.722,-4.159,1.431
6.719,-4.165,1.420
6.715,-4.171,1.407
6.712,-4.178,1.393
6.707,-4.187,1.377
6.703,-4.195,1.359
6.698,-4.205,1.341
6.692,-4.215,1.321
6.687,-4.226,1.299
6.681,-4.237,1.277
6.675,-4.249,1.254
6.668,-4.261,1.230
6.662,-4.274,1.205
6.656,-4.286,1.180
6.649,-4.299,1.155
6.642,-4.312,1.130
6.636,-4.325,1.104
6.629,-4.338,1.079
6.622,-4.350,1.054
6.616,-4.363,1.029
6.610,-4.375,1.005
6.604,-4.387,0.982
6.598,-4.398,0.960
6.592,-4.409,0.939
6.587,-4.419,0.919
6.582,-4.428,0.900
6.577,-4.437,0.882
6.573,-4.445,0.866
6.569,-4.453,0.852
6.566,-4.459,0.839
6.563,-4.465,0.829
6.560,-4.469,0.820
6.558,-4.473,0.812
6.556,-4.476,0.807
6.555,-4.478,0.804
6.555,-4.479,0.802
6.555,-4.478,0.803
6.555,-4.477,0.806
6.556,-4.475,0.810
6.557,-4.472,0.817
6.559,-4.468,0.825
6.561,-4.463,0.835
6.564,-4.457,0.847
6.567,-4.451,0.861
6.571,-4.443,0.876
6.574,-4.435,0.893
6.579,-4.426,0.911
6.583,-4.417,0.930
6.588,-4.407,0.951
6.593,-4.396,0.972
6.598,-4.385,0.995
6.604,-4.373,1.018
6.610,-4.362,1.042
6.615,-4.350,1.066
6.621,-4.337,1.091
6.627,-4.325,1.115
6.633,-4.313,1.140
6.639,-4.301,1.165
6.645,-4.289,1.189
6.650,-4.277,1.213
6.656,-4.266,1.236
6.661,-4.255,1.258
6.666,-4.244,1.280
6.671,-4.234,1.300
6.676,-4.224,1.320
6.680,-4.215,1.338
6.684,-4.207,1.355
6.687,-4.200,1.370
6.690,-4.193,1.383
6.693,-4.187,1.395
6.695,-4.182,1.405
6.697,-4.178,1.414
6.699,-4.175,1.420
6.699,-4.173,1.425
6.700,-4.172,1.427
6.700,-4.172,1.428
6.699,-4.173,1.427
6.698,-4.174,1.423
6.696,-4.177,1.418
6.694,-4.181,1.411
6.692,-4.186,1.402
6.689,-4.191,1.391
6.685,-4.198,1.378
6.681,-4.205,1.364
6.677,-4.213,1.348
6.672,-4.222,1.331
6.667,-4.231,1.312
6.662,-4.242,1.292
6.656,-4.252,1.270
6.651,-4.264,1.248
6.645,-4.275,1.225
6.638,-4.288,1.201
6.632,-4.300,1.177
6.625,-4.313,1.152
6.619,-4.325,1.126
6.612,-4.338,1.101
6.605,-4.351,1.075
6.599,-4.364,1.050
6.592,-4.377,1.025
6.586,-4.389,1.000
6.579,-4.401,0.976
6.573,-4.413,0.953
6.568,-4.424,0.931
6.562,-4.435,0.910
6.557,-4.445,0.890
6.552,-4.455,0.871
6.547,-4.464,0.853
6.543,-4.472,0.837
6.539,-4.479,0.823
6.535,-4.485,0.810
6.532,-4.491,0.800
6.530,-4.496,0.791
6.528,-4.499,0.783
6.526,-4.502,0.778
6.525,-4.504,0.775
6.524,-4.505,0.773
6.524,-4.505,0.774
6.525,-4.503,0.777
6.525,-4.501,0.781
6.527,-4.498,0.788
6.529,-4.494,0.796
6.531,-4.489,0.806
6.533,-4.483,0.818
6.537,-4.477,0.832
6.540,-4.469,0.847
6.544,-4.461,0.863
6.548,-4.452,0.882
6.553,-4.443,0.901
6.558,-4.433,0.921
6.563,-4.422,0.943
6.568,-4.411,0.965
6.574,-4.399,0.989
6.579,-4.388,1.012
6.585,-4.376,1.037
6.591,-4.363,1.061
6.597,-4.351,1.086
6.603,-4.339,1.111
6.608,-4.327,1.135
6.614,-4.315,1.160
6.620,-4.303,1.183
6.625,-4.292,1.207
6.631,-4.280,1.229
6.636,-4.270,1.251
6.641,-4.260,1.271
6.645,-4.250,1.290
6.649,-4.241,1.309
6.653,-4.233,1.325
6.657,-4.226,1.340
6.660,-4.219,1.354
6.663,-4.213,1.366
6.665,-4.208,1.376
6.667,-4.204,1.384
6.668,-4.201,1.391
6.669,-4.199,1.395
6.669,-4.198,1.398
6.669,-4.198,1.399
6.668,-4.198,1.397
6.667,-4.200,1.394
6.666,-4.203,1.389
6.664,-4.207,1.381
6.661,-4.211,1.372
6.658,-4.217,1.361
6.655,-4.223,1.349
6.651,-4.231,1.334
6.646,-4.239,1.319
6.642,-4.248,1.301
6.637,-4.257,1.282
6.631,-4.267,1.262
6.626,-4.278,1.241
6.620,-4.289,1.219
6.614,-4.301,1.195
6.608,-4.313,1.171
6.601,-4.326,1.147
6.595,-4.338,1.122
6.588,-4.351,1.097
6.581,-4.364,1.071
6.575,-4.377,1.046
6.568,-4.390,1.020
6.562,-4.402,0.995
6.555,-4.415,0.971
6.549,-4.427,0.947
6.543,-4.438,0.924
6.537,-4.450,0.901
6.531,-4.460,0.880
6.526,-4.471,0.860
6.521,-4.480,0.841
6.516,-4.489,0.824
6.512,-4.497,0.808
6.508,-4.504,0.793
6.505,-4.511,0.781
6.502,-4.516,0.770
6.499,-4.521,0.761
6.497,-4.525,0.753
6.495,-4.528,0.748
6.494,-4.529,0.745
6.494,-4.530,0.743
6.494,-4.530,0.744
6.494,-4.529,0.747
6.495,-4.527,0.751
6.496,-4.524,0.758
6.498,-4.519,0.766
6.500,-4.515,0.776
6.503,-4.509,0.788
6.506,-4.502,0.802
6.509,-4.495,0.817
6.513,-4.486,0.833
6.517,-4.477,0.851
6.522,-4.468,0.871
6.527,-4.458,0.891
6.532,-4.447,0.913
6.537,-4.436,0.935
6.543,-4.425,0.959
6.548,-4.413,0.982
6.554,-4.401,1.007
6.560,-4.389,1.031
6.566,-4.376,1.056
6.572,-4.364,1.081
6.578,-4.352,1.105
6.583,-4.340,1.129
6.589,-4.328,1.153
6.595,-4.317,1.176
6.600,-4.306,1.199
6.605,-4.295,1.220
6.610,-4.285,1.241
6.614,-4.275,1.260
6.619,-4.266,1.278
6.623,-4.258,1.295
6.626,-4.251,1.310
6.629,-4.244,1.324
6.632,-4.238,1.336
6.634,-4.233,1.346
6.636,-4.229,1.354
6.637,-4.226,1.361
6.638,-4.224,1.365
6.638,-4.223,1.368
6.638,-4.222,1.368
6.638,-4.223,1.367
6.636,-4.225,1.364
6.635,-4.228,1.358
6.633,-4.232,1.351
6.630,-4.236,1.342
6.627,-4.242,1.331
6.624,-4.248,1.318
6.620,-4.255,1.304
6.616,-4.264,1.288
6.611,-4.272,1.271
6.606,-4.282,1.252
6.601,-4.292,1.232
6.595,-4.303,1.210
6.589,-4.314,1.188
6.583,-4.326,1.165
6.577,-4.338,1.141
6.570,-4.350,1.116
6.564,-4.363,1.091
6.557,-4.376,1.066
6.550,-4.389,1.041
6.544,-4.401,1.015
6.537,-4.414,0.990
6.531,-4.427,0.965
6.524,-4.439,0.940
6.518,-4.451,0.916
6.512,-4.463,0.893
6.506,-4.474,0.871
6.500,-4.485,0.849
6.495,-4.495,0.829
6.490,-4.505,0.810
6.485,-4.514,0.793
6.481,-4.522,0.777
6.477,-4.529,0.763
6.474,-4.535,0.750
6.471,-4.541,0.739
6.468,-4.546,0.730
6.466,-4.549,0.723
6.464,-4.552,0.717
6.463,-4.554,0.714
6.463,-4.555,0.713
6.463,-4.554,0.713
6.463,-4.553,0.716
6.464,-4.551,0.720
6.465,-4.548,0.727
6.467,-4.544,0.735
6.469,-4.539,0.745
6.472,-4.533,0.757
6.475,-4.526,0.771
6.478,-4.519,0.786
6.482,-4.511,0.803
6.486,-4.502,0.821
6.491,-4.492,0.840
6.496,-4.482,0.860
6.501,-4.471,0.882
6.506,-4.460,0.904
6.512,-4.449,0.928
6.517,-4.437,0.951
6.523,-4.425,0.976
6.529,-4.413,1.000
6.535,-4.401,1.025
6.541,-4.388,1.050
6.547,-4.376,1.074
6.552,-4.364,1.098
6.558,-4.352,1.122
6.564,-4.341,1.145
6.569,-4.330,1.168
6.574,-4.319,1.189
6.579,-4.309,1.210
6.583,-4.299,1.229
6.588,-4.290,1.247
6.591,-4.282,1.264
6.595,-4.275,1.279
6.598,-4.268,1.293
6.601,-4.262,1.305
6.603,-4.257,1.315
6.605,-4.253,1.323
6.606,-4.250,1.329
6.607,-4.248,1.334
6.607,-4.247,1.336
6.607,-4.246,1.337
6.606,-4.247,1.336
6.605,-4.249,1.332
6.604,-4.252,1.327
6.602,-4.256,1.320
6.599,-4.260,1.311
6.596,-4.266,1.300
6.593,-4.272,1.287
6.589,-4.279,1.273
6.584,-4.287,1.257
6.580,-4.296,1.239
6.575,-4.306,1.221
6.569,-4.316,1.200
6.564,-4.327,1.179
6.558,-4.338,1.157
6.552,-4.350,1.134
6.546,-4.362,1.110
6.539,-4.374,1.085
6.533,-4.387,1.060
6.526,-4.400,1.035
6.519,-4.412,1.009
6.513,-4.425,0.984
6.506,-4.438,0.958
6.499,-4.451,0.933
6.493,-4.463,0.909
6.487,-4.475,0.885
6.481,-4.487,0.862
6.475,-4.498,0.839
6.469,-4.509,0.818
6.464,-4.519,0.798
6.459,-4.528,0.779
6.454,-4.537,0.761
6.450,-4.545,0.746
6.446,-4.553,0.731
6.442,-4.559,0.718
6.439,-4.565,0.708
6.437,-4.569,0.698
6.435,-4.573,0.691
6.433,-4.576,0.686
6.432,-4.577,0.683
6.431,-4.578,0.681
6.431,-4.578,0.682
6.432,-4.577,0.684
6.432,-4.575,0.689
6.434,-4.572,0.695
6.436,-4.567,0.704
6.438,-4.562,0.714
6.440,-4.557,0.726
6.444,-4.550,0.739
6.447,-4.542,0.754
6.451,-4.534,0.771
6.455,-4.525,0.789
6.460,-4.516,0.808
6.464,-4.506,0.829
6.470,-4.495,0.850
6.475,-4.484,0.873
6.480,-4.472,0.896
6.486,-4.460,0.920
6.492,-4.448,0.944
6.498,-4.436,0.968
6.504,-4.424,0.993
6.509,-4.412,1.018
6.515,-4.400,1.042
6.521,-4.387,1.067
6.527,-4.376,1.090
6.532,-4.364,1.114
6.537,-4.353,1.136
6.543,-4.342,1.158
6.547,-4.332,1.178
6.552,-4.323,1.197
6.556,-4.314,1.215
6.560,-4.305,1.232
6.563,-4.298,1.247
6.567,-4.291,1.261
6.569,-4.285,1.273
6.571,-4.280,1.283
6.573,-4.276,1.291
6.575,-4.273,1.298
6.575,-4.271,1.302
6.576,-4.270,1.305
6.576,-4.270,1.305
6.575,-4.270,1.304
6.574,-4.272,1.300
6.572,-4.275,1.295
6.570,-4.279,1.288
6.568,-4.283,1.279
6.565,-4.289,1.268
6.561,-4.295,1.255
6.557,-4.303,1.241
6.553,-4.311,1.225
6.548,-4.319,1.207
6.543,-4.329,1.189
6.538,-4.339,1.168
6.532,-4.350,1.147
6.526,-4.361,1.125
6.520,-4.373,1.102
6.514,-4.385,1.078
6.508,-4.397,1.053
6.501,-4.410,1.028
6.494,-4.423,1.003
6.488,-4.435,0.977
6.481,-4.448,0.952
6.474,-4.461,0.926
6.468,-4.474,0.901
6.461,-4.486,0.877
6.455,-4.498,0.853
6.449,-4.510,0.829
6.443,-4.521,0.807
6.437,-4.532,0.786
6.432,-4.542,0.766
6.427,-4.551,0.747
6.422,-4.560,0.729
6.418,-4.568,0.713
6.414,-4.575,0.699
6.411,-4.582,0.686
6.408,-4.587,0.675
6.405,-4.592,0.666
6.403,-4.596,0.659
6.402,-4.598,0.654
6.400,-4.600,0.650
6.400,-4.601,0.649
6.400,-4.601,0.649
6.400,-4.600,0.652
6.401,-4.597,0.656
6.402,-4.594,0.663
6.404,-4.590,0.671
6.406,-4.585,0.681
6.409,-4.579,0.693
6.412,-4.573,0.707
6.415,-4.565,0.722
6.419,-4.557,0.739
6.423,-4.548,0.757
6.428,-4.538,0.776
6.433,-4.528,0.796
6.438,-4.517,0.818
6.443,-4.506,0.840
6.449,-4.495,0.863
6.454,-4.483,0.887
6.460,-4.471,0.911
6.466,-4.459,0.936
6.472,-4.447,0.961
6.478,-4.434,0.985
6.484,-4.422,1.010
6.489,-4.410,1.034
6.495,-4.398,1.058
6.500,-4.387,1.081
6.506,-4.376,1.103
6.511,-4.365,1.125
6.516,-4.355,1.145
6.520,-4.345,1.165
6.524,-4.336,1.183
6.528,-4.328,1.199
6.532,-4.320,1.215
6.535,-4.314,1.228
6.537,-4.308,1.240
6.540,-4.303,1.250
6.541,-4.299,1.258
6.543,-4.296,1.265
6.544,-4.293,1.269
6.544,-4.292,1.272
6.544,-4.292,1.272
6.543,-4.293,1.271
6.542,-4.295,1.268
6.540,-4.297,1.262
6.538,-4.301,1.255
6.536,-4.306,1.246
6.533,-4.311,1.235
6.529,-4.318,1.222
6.525,-4.325,1.208
6.521,-4.333,1.192
6.516,-4.342,1.175
6.511,-4.351,1.156
6.506,-4.361,1.136
6.500,-4.372,1.114
6.495,-4.383,1.092
6.488,-4.395,1.069
6.482,-4.407,1.045
6.476,-4.419,1.020
6.469,-4.432,0.995
6.462,-4.445,0.970
6.456,-4.457,0.944
6.449,-4.470,0.919
6.442,-4.483,0.893
6.436,-4.496,0.868
6.429,-4.508,0.844
6.423,-4.520,0.820
6.417,-4.532,0.796
6.411,-4.543,0.774
6.406,-4.554,0.753
6.400,-4.564,0.733
6.395,-4.573,0.714
6.391,-4.582,0.696
6.386,-4.590,0.680
6.382,-4.597,0.666
6.379,-4.604,0.653
6.376,-4.609,0.642
6.373,-4.614,0.633
6.371,-4.618,0.626
6.370,-4.620,0.621
6.368,-4.622,0.617
6.368,-4.623,0.616
6.368,-4.623,0.616
6.368,-4.621,0.619
6.369,-4.619,0.623
6.370,-4.616,0.630
6.372,-4.612,0.638
6.374,-4.607,0.648
6.377,-4.601,0.660
6.380,-4.594,0.674
6.383,-4.587,0.689
6.387,-4.579,0.705
6.391,-4.570,0.723
6.396,-4.560,0.743
6.401,-4.550,0.763
6.406,-4.539,0.785
6.411,-4.528,0.807
6.417,-4.517,0.830
6.422,-4.505,0.854
6.428,-4.493,0.878
6.434,-4.480,0.903
6.440,-4.468,0.927
6.446,-4.456,0.952
6.451,-4.444,0.977
6.457,-4.432,1.001
6.463,-4.420,1.025
6.468,-4.408,1.048
6.474,-4.397,1.070
6.479,-4.386,1.092
6.484,-4.376,1.112
6.488,-4.367,1.131
6.492,-4.358,1.149
6.496,-4.349,1.166
6.500,-4.342,1.181
6.503,-4.335,1.195
6.505,-4.329,1.207
6.508,-4.324,1.217
6.509,-4.320,1.225
6.511,-4.317,1.231
6.512,-4.315,1.236
6.512,-4.314,1.238
6.512,-4.313,1.239
6.511,-4.314,1.238
6.510,-4.316,1.234
6.508,-4.319,1.229
6.506,-4.322,1.222
6.504,-4.327,1.213
6.501,-4.332,1.202
6.497,-4.339,1.189
6.493,-4.346,1.174
6.489,-4.354,1.159
6.484,-4.363,1.141
6.479,-4.372,1.122
6.474,-4.383,1.102
6.468,-4.393,1.081
6.462,-4.404,1.058
6.456,-4.416,1.035
6.450,-4.428,1.011
6.444,-4.441,0.986
6.437,-4.453,0.961
6.430,-4.466,0.936
6.424,-4.479,0.911
6.417,-4.492,0.885
6.410,-4.504,0.860
6.404,-4.517,0.835
6.397,-4.529,0.810
6.391,-4.541,0.786
6.385,-4.553,0.763
6.379,-4.564,0.740
6.373,-4.575,0.719
6.368,-4.585,0.699
6.363,-4.594,0.680
6.358,-4.603,0.663
6.354,-4.611,0.647
6.350,-4.618,0.632
6.347,-4.625,0.619
6.344,-4.630,0.608
6.341,-4.635,0.599
6.339,-4.639,0.592
6.337,-4.641,0.587
6.336,-4.643,0.583
6.336,-4.644,0.582
6.335,-4.644,0.583
6.336,-4.642,0.585
6.337,-4.640,0.590
6.338,-4.637,0.596
6.340,-4.633,0.604
6.342,-4.628,0.614
6.344,-4.622,0.626
6.348,-4.615,0.640
6.351,-4.608,0.655
6.355,-4.600,0.671
6.359,-4.591,0.689
6.364,-4.581,0.709
6.368,-4.571,0.729
6.374,-4.560,0.751
6.379,-4.549,0.773
6.384,-4.537,0.796
6.390,-4.526,0.820
6.396,-4.514,0.844
6.402,-4.501,0.869
6.407,-4.489,0.893
6.413,-4.477,0.918
6.419,-4.464,0.943
6.425,-4.452,0.967
6.431,-4.441,0.991
6.436,-4.429,1.014
6.441,-4.418,1.036
6.446,-4.407,1.058
6.451,-4.397,1.078
6.456,-4.387,1.097
6.460,-4.378,1.115
6.464,-4.370,1.132
6.467,-4.363,1.147
6.470,-4.356,1.161
6.473,-4.350,1.173
6.475,-4.345,1.183
6.477,-4.341,1.191
6.478,-4.338,1.197
6.479,-4.336,1.202
6.479,-4.334,1.204
6.479,-4.334,1.205
6.479,-4.335,1.203
6.477,-4.337,1.200
6.476,-4.339,1.195
6.474,-4.343,1.187
6.471,-4.347,1.178
6.468,-4.353,1.167
6.465,-4.359,1.155
6.461,-4.367,1.140
6.456,-4.375,1.124
6.452,-4.383,1.107
6.447,-4.393,1.088
6.441,-4.403,1.068
6.436,-4.414,1.046
6.430,-4.425,1.024
6.424,-4.437,1.001
6.417,-4.449,0.977
6.411,-4.461,0.952
6.404,-4.474,0.927
6.398,-4.486,0.902
6.391,-4.499,0.876
6.384,-4.512,0.851
6.378,-4.525,0.825
6.371,-4.537,0.800
6.365,-4.549,0.776
6.358,-4.562,0.752
6.352,-4.573,0.728
6.346,-4.584,0.706
6.341,-4.595,0.685
6.335,-4.605,0.664
6.330,-4.615,0.646
6.326,-4.623,0.628
6.322,-4.631,0.612
6.318,-4.639,0.598
6.314,-4.645,0.585
6.311,-4.651,0.574
6.309,-4.655,0.565
6.306,-4.659,0.558
6.305,-4.662,0.552
6.304,-4.663,0.549
6.303,-4.664,0.547
6.303,-4.664,0.548
6.303,-4.663,0.551
6.304,-4.660,0.555
6.305,-4.657,0.561
6.307,-4.653,0.570
6.309,-4.648,0.580
6.312,-4.642,0.592
6.315,-4.635,0.605
6.318,-4.628,0.620
6.322,-4.620,0.637
6.326,-4.611,0.655
6.331,-4.601,0.674
6.336,-4.591,0.695
6.341,-4.580,0.716
6.346,-4.569,0.738
6.352,-4.557,0.762
6.357,-4.546,0.785
6.363,-4.533,0.810
6.369,-4.521,0.834
6.375,-4.509,0.859
6.381,-4.497,0.883
6.386,-4.484,0.908
6.392,-4.472,0.932
6.398,-4.460,0.956
6.403,-4.449,0.979
6.409,-4.438,1.001
6.414,-4.427,1.023
6.418,-4.417,1.043
6.423,-4.407,1.063
6.427,-4.398,1.081
6.431,-4.390,1.097
6.435,-4.382,1.112
6.438,-4.376,1.126
6.440,-4.370,1.138
6.443,-4.365,1.148
6.444,-4.361,1.156
6.446,-4.357,1.162
6.446,-4.355,1.167
6.447,-4.354,1.169
6.447,-4.354,1.170
6.446,-4.354,1.169
6.445,-4.356,1.165
6.443,-4.359,1.160
6.441,-4.363,1.153
6.438,-4.367,1.143
6.435,-4.373,1.132
6.432,-4.379,1.120
6.428,-4.386,1.105
6.424,-4.394,1.089
6.419,-4.403,1.072
6.414,-4.412,1.053
6.409,-4.423,1.033
6.403,-4.433,1.011
6.397,-4.444,0.989
6.391,-4.456,0.966
6.385,-4.468,0.942
6.378,-4.480,0.917
6.372,-4.493,0.892
6.365,-4.506,0.867
6.358,-4.519,0.841
6.352,-4.531,0.816
6.345,-4.544,0.790
6.338,-4.557,0.765
6.332,-4.569,0.741
6.326,-4.581,0.716
6.320,-4.593,0.693
6.314,-4.604,0.671
6.308,-4.614,0.650
6.303,-4.625,0.629
6.298,-4.634,0.610
6.293,-4.643,0.593
6.289,-4.651,0.577
6.285,-4.658,0.563
6.281,-4.664,0.550
6.278,-4.670,0.539
6.276,-4.675,0.530
6.274,-4.678,0.522
6.272,-4.681,0.517
6.271,-4.683,0.514
6.270,-4.683,0.512
6.270,-4.683,0.513
6.270,-4.682,0.515
6.271,-4.680,0.520
6.272,-4.676,0.526
6.274,-4.672,0.534
6.276,-4.667,0.545
6.279,-4.661,0.556
6.282,-4.655,0.570
6.286,-4.647,0.585
6.289,-4.639,0.602
6.294,-4.630,0.620
6.298,-4.620,0.639
6.303,-4.610,0.659
6.308,-4.599,0.681
6.313,-4.588,0.703
6.319,-4.576,0.726
6.324,-4.565,0.750
6.330,-4.553,0.774
6.336,-4.540,0.799
6.342,-4.528,0.823
6.348,-4.516,0.848
6.353,-4.503,0.873
6.359,-4.491,0.897
6.365,-4.479,0.920
6.370,-4.468,0.944
6.376,-4.457,0.966
6.381,-4.446,0.987
6.386,-4.436,1.008
6.390,-4.426,1.027
6.394,-4.417,1.045
6.398,-4.409,1.062
6.402,-4.401,1.077
6.405,-4.395,1.090
6.407,-4.389,1.102
6.409,-4.384,1.112
6.411,-4.379,1.121
6.413,-4.376,1.127
6.413,-4.374,1.131
6.414,-4.373,1.134
6.414,-4.373,1.134
6.413,-4.373,1.133
6.412,-4.375,1.130
6.410,-4.378,1.124
6.408,-4.381,1.117
6.405,-4.386,1.108
6.402,-4.391,1.097
6.399,-4.398,1.084
6.395,-4.405,1.070
6.391,-4.413,1.054
6.386,-4.422,1.036
6.381,-4.431,1.017
6.376,-4.441,0.997
6.370,-4.452,0.976
6.364,-4.463,0.953
6.358,-4.475,0.930
6.352,-4.487,0.906
6.345,-4.499,0.882
6.339,-4.512,0.856
6.332,-4.524,0.831
6.325,-4.537,0.805
6.319,-4.550,0.780
6.312,-4.563,0.755
6.305,-4.575,0.729
6.299,-4.588,0.705
6.292,-4.600,0.681
6.286,-4.611,0.657
6.280,-4.622,0.635
6.275,-4.633,0.614
6.269,-4.643,0.594
6.264,-4.653,0.575
6.260,-4.661,0.557
6.255,-4.669,0.541
6.252,-4.677,0.527
6.248,-4.683,0.514
6.245,-4.688,0.503
6.242,-4.693,0.494
6.240,-4.697,0.487
6.239,-4.699,0.481
6.238,-4.701,0.478
6.237,-4.702,0.476
6.237,-4.701,0.477
6.237,-4.700,0.479
6.238,-4.698,0.484
6.239,-4.695,0.490
6.241,-4.691,0.499
6.243,-4.686,0.509
6.246,-4.680,0.520
6.249,-4.673,0.534
6.252,-4.665,0.549
6.256,-4.657,0.566
6.260,-4.648,0.584
6.265,-4.638,0.603
6.270,-4.628,0.623
6.275,-4.617,0.645
6.280,-4.606,0.667
6.285,-4.595,0.690
6.291,-4.583,0.714
6.297,-4.571,0.738
6.303,-4.558,0.763
6.309,-4.546,0.787
6.314,-4.534,0.812
6.320,-4.522,0.837
6.326,-4.509,0.861
6.332,-4.498,0.884
6.337,-4.486,0.908
6.342,-4.475,0.930
6.347,-4.464,0.951
6.352,-4.454,0.972
6.357,-4.444,0.991
6.361,-4.435,1.009
6.365,-4.427,1.026
6.368,-4.419,1.041
6.371,-4.413,1.054
6.374,-4.407,1.066
6.376,-4.402,1.076
6.378,-4.397,1.084
6.379,-4.394,1.091
6.380,-4.392,1.095
6.380,-4.391,1.098
6.380,-4.391,1.098
6.379,-4.391,1.097
